Unnamed: 0,id,date,saving_ratio,debt_saving_ratio,default_flag,max_dpd_6_months,max_dpd_12_months,max_dpd_24_months,problematic_cheque_count,duration_in_month,credit_amount,installment_as_income_perc,present_res_since,average_credit_duration,credits_this_bank,people_under_maintenance,sector_risk,EBITDA,ROE,ROA,Revenue_Growth_Rate,Int_coverage_ratio,Net_Profit_Margin,year,month,year_month,EBITDA_capped_0.99,Int_coverage_ratio_capped_0.99,Net_Profit_Margin_capped_0.99,ROA_capped_0.99,ROE_capped_0.99,Revenue_Growth_Rate_capped_0.99,average_credit_duration_capped_0.99,credit_amount_capped_0.99,credits_this_bank_capped_0.99,debt_saving_ratio_capped_0.99,default_flag_capped_0.99,duration_in_month_capped_0.99,id_capped_0.99,installment_as_income_perc_capped_0.99,max_dpd_12_months_capped_0.99,max_dpd_24_months_capped_0.99,max_dpd_6_months_capped_0.99,people_under_maintenance_capped_0.99,present_res_since_capped_0.99,problematic_cheque_count_capped_0.99,saving_ratio_capped_0.99,boxcox_id,boxcox_saving_ratio,boxcox_duration_in_month,boxcox_credit_amount,boxcox_installment_as_income_perc,boxcox_present_res_since,boxcox_average_credit_duration,boxcox_credits_this_bank,boxcox_people_under_maintenance,boxcox_EBITDA,boxcox_year,boxcox_month,boxcox_EBITDA_capped_0.99,boxcox_average_credit_duration_capped_0.99,boxcox_credit_amount_capped_0.99,boxcox_credits_this_bank_capped_0.99,boxcox_duration_in_month_capped_0.99,boxcox_id_capped_0.99,boxcox_installment_as_income_perc_capped_0.99,boxcox_people_under_maintenance_capped_0.99,boxcox_present_res_since_capped_0.99,boxcox_saving_ratio_capped_0.99,yj_Unnamed: 0,yj_id,yj_saving_ratio,yj_debt_saving_ratio,yj_default_flag,yj_max_dpd_6_months,yj_max_dpd_12_months,yj_max_dpd_24_months,yj_problematic_cheque_count,yj_duration_in_month,yj_credit_amount,yj_installment_as_income_perc,yj_present_res_since,yj_average_credit_duration,yj_credits_this_bank,yj_people_under_maintenance,yj_sector_risk,yj_EBITDA,yj_ROE,yj_ROA,yj_Revenue_Growth_Rate,yj_Int_coverage_ratio,yj_Net_Profit_Margin,yj_year,yj_month,yj_EBITDA_capped_0.99,yj_Int_coverage_ratio_capped_0.99,yj_Net_Profit_Margin_capped_0.99,yj_ROA_capped_0.99,yj_ROE_capped_0.99,yj_Revenue_Growth_Rate_capped_0.99,yj_average_credit_duration_capped_0.99,yj_credit_amount_capped_0.99,yj_credits_this_bank_capped_0.99,yj_debt_saving_ratio_capped_0.99,yj_default_flag_capped_0.99,yj_duration_in_month_capped_0.99,yj_id_capped_0.99,yj_installment_as_income_perc_capped_0.99,yj_max_dpd_12_months_capped_0.99,yj_max_dpd_24_months_capped_0.99,yj_max_dpd_6_months_capped_0.99,yj_people_under_maintenance_capped_0.99,yj_present_res_since_capped_0.99,yj_problematic_cheque_count_capped_0.99,yj_saving_ratio_capped_0.99,yj_sector_risk_capped_0.99,business_type_partnership,business_type_sole_proprietorship,credit_history_critical account/ other credits existing (not at this bank),credit_history_delay in paying off in the past,credit_history_existing credits paid back duly till now,credit_history_no credits taken/ all credits paid back duly,customer_profile_large_enterprises,customer_profile_small_businesses,customer_segment_medium_sme,customer_segment_micro_sme,customer_segment_small_sme,foreign_stakeholders_yes,other_debtors_guarantor,other_debtors_none,purpose_car (new),purpose_car (used),purpose_domestic appliances,purpose_education,purpose_furniture/equipment,purpose_lease_investment,purpose_other business spend,purpose_rent_payment,purpose_repairs,purpose_retraining,revenue_range_10m+,revenue_range_1m-5m,revenue_range_5m-10m,savings_... < 100 DM,savings_100 <= ... < 500 DM,savings_500 <= ... < 1000 DM ,savings_unknown/ no savings account,sector_Oil and gas,sector_Real Estate,sector_Telecommunications,sme_history_begin_... < 1 year ,sme_history_begin_1 <= ... < 4 years,sme_history_begin_4 <= ... < 7 years,sme_history_begin_new company,business_type_mean_encoded,credit_history_mean_encoded,customer_profile_mean_encoded,customer_segment_mean_encoded,foreign_stakeholders_mean_encoded,other_debtors_mean_encoded,purpose_mean_encoded,revenue_range_mean_encoded,savings_mean_encoded,sector_mean_encoded,sector_risk_capped_0.99_mean_encoded,sme_history_begin_mean_encoded,business_type_woe_encoded,credit_history_woe_encoded,customer_profile_woe_encoded,customer_segment_woe_encoded,foreign_stakeholders_woe_encoded,other_debtors_woe_encoded,purpose_woe_encoded,revenue_range_woe_encoded,savings_woe_encoded,sector_woe_encoded,sector_risk_capped_0.99_woe_encoded,sme_history_begin_woe_encoded
0,1,2020-12-09,0.24,0.22,0,0,0,0.0,2,6,1169,4,4,67,2,10,2,360,60,100,27,75,90.0,2020,12,2020-12,360.0,75.0,90.0,100.0,60.0,27.0,67.0,1169.0,2.0,0.22,0.0,6.0,1.0,4.0,0.0,0.0,0.0,10.0,4.0,2.0,0.24,0.0,-1.0875568236613757,1.9496486731861182,5.682666787118978,4.487197508351766,3.185466676022057,1.4233041516594163,0.34704287218427815,0.1086126300138209,91.44392713364739,0.018370739216776184,7.262940919928803,92.30553166363534,1.4709592173628119,5.798369097380842,0.3456609758094704,1.9559786007656212,0.0,4.487197508351766,0.1086126300138209,3.185466676022057,-1.086229099301582,-2.167622354630709,-2.1515428899552793,-0.39983817073251277,-0.3989307748374064,-0.6546536707079771,-0.2041241452319315,-0.2195860408817118,-0.20145154833543225,0.5077295341976652,-1.7974187032186204,-0.9327009298871339,0.9591655023579431,1.0629208696181067,1.9663133089769347,1.275451926336348,-0.4282850494763857,-0.8148682715999523,-0.22205189983523338,0.15705179541052108,0.8963387552008452,-0.7066418819053327,1.273084381862889,1.1046970050807785,-1.325543020342516,1.5295434337846712,-0.22256882050798815,1.2735615110082477,1.1046970050807785,0.897910271246623,0.15754857456051588,-0.7069177269290239,1.9856975156098489,-0.9340142221274913,1.2779242131305126,-0.3993789813984188,-0.6546536707079771,-1.7962690545742306,-2.151142403167537,0.9591655023579431,-0.2195860408817118,-0.20145154833543225,-0.2041241452319315,-0.4282850494763857,1.0629208696181067,0.5077295341976652,-0.400310239322183,-0.8148682715999523,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.17064846416382254,0.2751842751842752,0.4927007299270073,0.3073727933541018,0.29988974641675853,0.22142857142857142,0.29411764705882354,0.17486338797814208,0.2127659574468085,,0.25296442687747034,-0.19448128020073333,-0.7218362059179347,-0.12220922855073653,0.8145188497776892,0.0329503519169953,-0.0022203815042209428,-0.4024306167740267,-0.02890357619663329,-0.6838665727288545,-0.45279152063586614,-0.001891235634772842,-0.22913041561390768
1,2,2021-08-07,0.28,0.26,1,0,30,0.0,0,48,5951,2,2,22,1,10,7,350,52,141,18,-10,77.0,2021,8,2021-08,350.0,-10.0,77.0,141.0,52.0,18.0,22.0,5951.0,1.0,0.26,1.0,48.0,2.0,2.0,30.0,0.0,0.0,10.0,2.0,0.0,0.28,0.8952929128379232,-0.9976829870886772,4.659557988253633,6.666000736006088,1.197984254049485,1.0276210631616207,1.3202210745980525,0.0,0.1086126300138209,89.59994156611083,0.018370739216776184,5.008945617791885,90.43920940609722,1.357683067941571,6.830401002166268,0.0,4.693350378754979,0.8954212570066206,1.197984254049485,0.1086126300138209,1.0276210631616207,-0.9965843042486004,-2.149892751465758,-2.136494795343428,-0.17502849903581252,-0.1742073152460813,1.5275252316519468,-0.2041241452319315,4.554023537549828,-0.20145154833543225,-1.3633832756856132,1.7645869540110661,1.156804782726858,-0.9630828631544054,-0.7945886692738641,-1.607482177860415,-0.7597397932856651,-0.4282850494763857,0.9936447461984899,-0.2635563289134177,-0.0392980021224381,1.8052967211273747,-1.0703058423517713,-0.13192878605820782,0.7267441050260929,-0.4202295646118311,0.48550318476325577,-0.2641149445035543,-0.13203693717559542,0.7267441050260929,1.8094407589090782,-0.03922915615273409,-1.0706056523291871,-1.6047602811712323,1.1610427668728587,-0.7599546219011147,-0.17463239844840922,1.5275252316519468,1.7685406195578808,-2.1361203452620052,-0.9630828631544054,4.554023537549828,-0.20145154833543225,-0.2041241452319315,-0.4282850494763857,-0.7945886692738641,-1.3633832756856132,-0.17547651487658789,0.9936447461984899,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2608695652173913,0.31886792452830187,0.2751842751842752,0.3903345724907063,0.3073727933541018,0.29988974641675853,0.22142857142857142,0.29411764705882354,0.3598673300165838,0.2127659574468085,,0.30678466076696165,-0.19448128020073333,0.08766061187543207,-0.12220922855073653,0.4010000068624281,0.0329503519169953,-0.0022203815042209428,-0.4024306167740267,-0.02890357619663329,0.2695767564102486,-0.45279152063586614,-0.001891235634772842,0.033634931782854864
2,3,2023-02-26,0.42,0.4,0,0,30,0.0,1,12,2096,2,3,49,1,20,2,113,-7,59,2,-18,88.0,2023,2,2023-02,113.0,-18.0,88.0,59.0,-7.0,2.0,49.0,2096.0,1.0,0.4,0.0,12.0,3.0,2.0,30.0,0.0,0.0,20.0,3.0,1.0,0.42,1.6634581229983205,-0.7330613130364588,2.7954025445165316,6.047305421900602,1.197984254049485,2.0936699451054537,1.4015080899651877,0.0,0.108612630081136,39.28075649211863,0.018370739216776184,0.9090487487446971,39.563126259308426,1.446715297274838,6.17986798989234,0.0,2.8081313715548806,1.6638525151515227,1.197984254049485,0.108612630081136,2.0936699451054537,-0.732494955935667,-2.1346806748837377,-2.1228544198925845,0.4912604990049944,0.4916620976196547,-0.6546536707079771,-0.2041241452319315,4.554023537549828,-0.20145154833543225,-0.32639860846374874,-0.6945298698767081,-0.15783099528809547,-0.9630828631544054,0.10184395669894088,1.2114973394825448,-0.7597397932856651,2.3348734432432283,-0.8148682715999523,-1.394683329583851,-2.1336728442642325,-0.11664384143462914,-1.8997719342710242,-0.26867689993444194,1.046857898501182,1.3851031161142715,-1.3390752693232901,-1.3951916153034074,-0.26878391924168,1.046857898501182,-0.11701941110024673,-2.13263202392257,-1.8995819320621563,1.2180946645181612,-0.1595170027617419,-0.7599546219011147,0.4916827654766665,-0.6546536707079771,-0.6952927610925068,-2.122501753514897,-0.9630828631544054,4.554023537549828,-0.20145154833543225,-0.2041241452319315,2.3348734432432283,0.10184395669894088,-0.32639860846374874,0.4912818434405132,-0.8148682715999523,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2608695652173913,0.17064846416382254,0.2751842751842752,0.116751269035533,0.3073727933541018,0.29988974641675853,0.44,0.2864583333333333,0.3598673300165838,0.2127659574468085,,0.22413793103448276,-0.19448128020073333,-0.7218362059179347,-0.12220922855073653,-1.1614179338414272,0.0329503519169953,-0.0022203815042209428,0.6117047725936172,-0.0583956077711139,0.2695767564102486,-0.45279152063586614,-0.001891235634772842,-0.38026904497117414
3,4,2020-03-30,0.07,0.05,0,0,30,0.0,0,42,7882,2,4,45,1,20,1,659,89,0,49,57,-7.0,2020,3,2020-03,659.0,57.0,-7.0,0.0,89.0,49.0,45.0,7882.0,1.0,0.05,0.0,42.0,4.0,2.0,30.0,0.0,0.0,20.0,4.0,0.0,0.07,2.3591943500791697,-1.6375082809302728,4.469360489233727,6.825672361537558,1.197984254049485,3.185466676022057,1.3947559641262661,0.0,0.108612630081136,141.40455413866297,0.018370739216776184,1.7059834130683318,142.90640283261686,1.4392431464029944,6.998979346938125,0.0,4.500589577330171,2.3599206626514984,1.197984254049485,0.108612630081136,3.185466676022057,-1.6341118867763953,-2.1209029189617814,-2.1101735436640925,-1.5921072139800272,-1.5915688528918275,-0.6546536707079771,-0.2041241452319315,4.554023537549828,-0.20145154833543225,-1.3633832756856132,1.5166056348378043,1.4960092193342047,-0.9630828631544054,1.0629208696181067,0.9771068009940512,-0.7597397932856651,2.3348734432432283,-1.2695525701030344,0.903231302196127,0.8306645297360894,-2.162033046599031,0.06720701331219732,0.9781165769348137,-2.045372804455275,-1.325543020342516,-0.9984447505908901,0.9046388879300702,0.978438197842542,-2.045372804455275,-2.1600993630385132,0.8328505863910831,0.06725355034660305,0.9809562385215649,1.5031764694209697,-0.7599546219011147,-1.5912040887007681,-0.6546536707079771,1.5195337754860272,-2.109839875477743,-0.9630828631544054,4.554023537549828,-0.20145154833543225,-0.2041241452319315,2.3348734432432283,1.0629208696181067,-1.3633832756856132,-1.5917221654053024,-1.2695525701030344,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4074074074074074,0.31886792452830187,0.2751842751842752,0.4927007299270073,0.3073727933541018,0.19230769230769232,0.32044198895027626,0.29411764705882354,0.3598673300165838,0.30603448275862066,,0.22413793103448276,0.4757816065256243,0.08766061187543207,-0.12220922855073653,0.8145188497776892,0.0329503519169953,-0.5197984562442504,0.10076226495162416,-0.02890357619663329,0.2695767564102486,0.03257617043461267,-0.001891235634772842,-0.38026904497117414
4,5,2021-07-24,0.13,0.1,1,0,30,0.0,3,24,4870,3,4,53,2,20,8,117,50,51,24,60,71.0,2021,7,2021-07,117.0,60.0,71.0,51.0,50.0,24.0,53.0,4870.0,2.0,0.1,1.0,24.0,5.0,3.0,30.0,0.0,0.0,20.0,4.0,3.0,0.13,3.0055988843712615,-1.3949104885672443,3.6974563942208523,6.550332068517527,2.7156876814825788,3.185466676022057,1.4074036076918883,0.34704287218427815,0.108612630081136,40.3011395810892,0.018370739216776184,4.404560159341271,40.593485282525364,1.4532535716212027,6.708460586615745,0.3456609758094704,3.719229502340205,3.0066962654956293,2.7156876814825788,0.108612630081136,3.185466676022057,-1.3925839411483878,-2.1081020850286554,-2.0982083385561774,-1.1207781035978541,-1.194188278402062,1.5275252316519468,-0.2041241452319315,4.554023537549828,-0.20145154833543225,1.2325080515387627,0.5009097672104156,0.9110564437823441,-0.10946075598511702,1.0629208696181067,1.4159854662303502,1.275451926336348,2.3348734432432283,1.3057003211145917,-1.3717902643744468,-0.08928890614139025,-0.3330022310411978,-0.823630895822518,1.0273127172065697,0.5505864122330952,-0.4202295646118311,0.20872758211774178,-1.3723291783809073,1.0276598322864245,0.5505864122330952,-0.3336317433154975,-0.08932356790769899,-0.8239251397292487,1.4254289510664793,0.9135384727659193,1.2779242131305126,-1.1942585193964823,1.5275252316519468,0.5009145853674674,-2.0978916550444158,-0.10946075598511702,4.554023537549828,-0.20145154833543225,-0.2041241452319315,2.3348734432432283,1.0629208696181067,1.2325080515387627,-1.120918442836685,1.3057003211145917,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4074074074074074,0.3181818181818182,0.2751842751842752,0.4927007299270073,0.3073727933541018,0.29988974641675853,0.3803418803418803,0.29411764705882354,0.3598673300165838,0.43506493506493504,,0.30678466076696165,0.4757816065256243,0.09992835246410423,-0.12220922855073653,0.8145188497776892,0.0329503519169953,-0.0022203815042209428,0.3597094352728702,-0.02890357619663329,0.2695767564102486,0.5856772773488418,-0.001891235634772842,0.033634931782854864
5,6,2021-02-13,0.24,0.22,0,0,30,0.0,0,36,9055,2,4,35,1,20,2,540,12,76,98,-27,56.0,2021,2,2021-02,540.0,-27.0,56.0,76.0,12.0,98.0,35.0,9055.0,1.0,0.22,0.0,36.0,6.0,2.0,30.0,0.0,0.0,20.0,4.0,0.0,0.24,3.6152281453518276,-1.0875568236613757,4.252710005254488,6.903446498792235,1.197984254049485,3.185466676022057,1.3724723437331194,0.0,0.108612630081136,122.52262458539373,0.018370739216776184,0.9090487487446971,123.7753075770186,1.4146941918602634,7.081197986752776,0.0,4.28113034922952,3.6167225444766395,1.197984254049485,0.108612630081136,3.185466676022057,-1.086229099301582,-2.096029516661259,-2.08680725798335,-0.39983817073251277,-0.3989307748374064,-0.6546536707079771,-0.2041241452319315,4.554023537549828,-0.20145154833543225,-1.3633832756856132,1.232912722979445,1.6612168421525078,-0.9630828631544054,1.0629208696181067,0.20291740592198187,-0.7597397932856651,2.3348734432432283,-0.8148682715999523,0.4777951025009248,-1.1533805963957184,0.32004999835562387,1.5086449415121672,-0.42294727609241994,0.10458421367217828,-0.4202295646118311,-1.3390752693232901,0.4783121053977757,-0.4230475731922463,0.10458421367217828,0.32037403105035867,-1.154877235726595,1.5099451628851135,0.20122222610320148,1.6700262206340217,-0.7599546219011147,-0.3993789813984188,-0.6546536707079771,1.2348170157512879,-2.0865060128783006,-0.9630828631544054,4.554023537549828,-0.20145154833543225,-0.2041241452319315,2.3348734432432283,1.0629208696181067,-1.3633832756856132,-0.400310239322183,-0.8148682715999523,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4074074074074074,0.31886792452830187,0.2751842751842752,0.116751269035533,0.3073727933541018,0.29988974641675853,0.44,0.2864583333333333,0.17486338797814208,0.43506493506493504,,0.30678466076696165,0.4757816065256243,0.08766061187543207,-0.12220922855073653,-1.1614179338414272,0.0329503519169953,-0.0022203815042209428,0.6117047725936172,-0.0583956077711139,-0.6838665727288545,0.5856772773488418,-0.001891235634772842,0.033634931782854864
6,7,2021-01-13,0.16,0.14,0,0,30,0.0,3,24,2835,3,4,53,1,10,7,537,85,65,45,-20,77.0,2021,1,2021-01,537.0,-20.0,77.0,65.0,85.0,45.0,53.0,2835.0,1.0,0.14,0.0,24.0,7.0,3.0,30.0,0.0,0.0,10.0,4.0,3.0,0.16,4.195882355466625,-1.2991347762836576,3.6974563942208523,6.230633250655327,2.7156876814825788,3.185466676022057,1.4074036076918883,0.0,0.1086126300138209,122.03197277741279,0.018370739216776184,0.0,123.27828786509492,1.4532535716212027,6.372196980649634,0.0,3.719229502340205,4.197792157730488,2.7156876814825788,0.1086126300138209,3.185466676022057,-1.2971580746315596,-2.0845307450305617,-2.0758678488468782,-0.9074257903427507,-0.9064836159196237,-0.6546536707079771,-0.2041241452319315,4.554023537549828,-0.20145154833543225,1.2325080515387627,0.5009097672104156,0.23174703228129112,-0.10946075598511702,1.0629208696181067,1.4159854662303502,-0.7597397932856651,-0.4282850494763857,0.9936447461984899,0.46674218941534634,0.740698216637567,0.04073881580633121,-0.06494260547934325,-0.30292659459080296,0.7267441050260929,-0.4202295646118311,-1.7078426864529934,0.4672384737499654,-0.30303253502649935,0.7267441050260929,0.04058813460531706,0.7426411767074259,-0.06497252253492203,1.4254289510664793,0.23093799075917218,-0.7599546219011147,-0.9067695615831562,-0.6546536707079771,0.5009145853674674,-2.075580804824473,-0.10946075598511702,4.554023537549828,-0.20145154833543225,-0.2041241452319315,-0.4282850494763857,1.0629208696181067,1.2325080515387627,-0.9077262255935454,0.9936447461984899,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.31886792452830187,0.2751842751842752,0.116751269035533,0.3073727933541018,0.29988974641675853,0.32044198895027626,0.29411764705882354,0.1746031746031746,0.30603448275862066,,0.25296442687747034,-0.19448128020073333,0.08766061187543207,-0.12220922855073653,-1.1614179338414272,0.0329503519169953,-0.0022203815042209428,0.10076226495162416,-0.02890357619663329,-0.64187887711318,0.03257617043461267,-0.001891235634772842,-0.22913041561390768
7,8,2020-02-23,0.46,0.44,0,0,0,0.0,0,36,6948,2,2,35,1,10,7,78,70,93,93,-49,88.0,2020,2,2020-02,78.0,-49.0,88.0,93.0,70.0,93.0,35.0,6948.0,1.0,0.44,0.0,36.0,8.0,2.0,0.0,0.0,0.0,10.0,2.0,0.0,0.46,4.752832663560312,-0.6675644512195499,4.252710005254488,6.754364064733946,1.197984254049485,1.0276210631616207,1.3724723437331194,0.0,0.1086126300138209,29.842143076612434,0.018370739216776184,0.9090487487446971,30.036037989627268,1.4146941918602634,6.923657373538608,0.0,4.28113034922952,4.755171492751392,1.197984254049485,0.1086126300138209,1.0276210631616207,-0.6670998032356144,-2.073501384884019,-2.065316688147519,0.6531019232407925,0.6533834477333799,-0.6546536707079771,-0.2041241452319315,-0.2195860408817118,-0.20145154833543225,-1.3633832756856132,1.232912722979445,1.3445276213917452,-0.9630828631544054,-0.7945886692738641,0.20291740592198187,-0.7597397932856651,-0.4282850494763857,0.9936447461984899,-1.6062736417010248,0.3953823566325266,0.7323192102939011,1.3727095624589685,-0.8012062489981538,1.046857898501182,-1.325543020342516,-1.3390752693232901,-1.6064137918038714,-0.8012754082407233,1.046857898501182,0.733501904139044,0.396440450944126,1.3738638066167241,0.20122222610320148,1.350313659882993,-0.7599546219011147,0.6536045474971062,-0.6546536707079771,1.2348170157512879,-2.065042825075027,-0.9630828631544054,-0.2195860408817118,-0.20145154833543225,-0.2041241452319315,-0.4282850494763857,-0.7945886692738641,-1.3633832756856132,0.6533346249381455,0.9936447461984899,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.39106145251396646,0.31886792452830187,0.2751842751842752,0.3903345724907063,0.3073727933541018,0.29988974641675853,0.1650485436893204,0.34285714285714286,0.3598673300165838,0.3072289156626506,,0.30678466076696165,0.4057058978998408,0.08766061187543207,-0.12220922855073653,0.4010000068624281,0.0329503519169953,-0.0022203815042209428,-0.7320299741074776,0.2027271916083122,0.2695767564102486,0.0358176643587837,-0.001891235634772842,0.033634931782854864
8,9,2022-03-16,0.49,0.47,0,0,0,0.0,1,12,3059,2,4,61,1,10,0,315,56,45,47,43,24.0,2022,3,2022-03,315.0,43.0,24.0,45.0,56.0,47.0,61.0,3059.0,1.0,0.47,0.0,12.0,9.0,2.0,0.0,0.0,0.0,10.0,4.0,1.0,0.49,5.289855306929017,-0.6206556261839132,2.7954025445165316,6.276239177454007,1.197984254049485,3.185466676022057,1.4172328991723684,0.0,0.1086126300138209,83.02212137072469,0.018370739216776184,1.7059834130683318,83.78261331305245,1.464185764699429,6.420097848572053,0.0,2.8081313715548806,5.292633588452086,1.197984254049485,0.1086126300138209,3.185466676022057,-0.6202570072699972,-2.0628666548987082,-2.0550988468565405,0.7675040230611868,0.7677010477522472,-0.6546536707079771,-0.2041241452319315,-0.2195860408817118,-0.20145154833543225,-0.32639860846374874,-0.6945298698767081,0.32865824015785317,-0.9630828631544054,1.0629208696181067,1.7564306411816344,-0.7597397932856651,-0.4282850494763857,-1.803711156730683,-0.411588330804534,0.05956868507627232,-0.5009525333457646,0.0015163819716151915,0.7483136277005814,-0.8853846085034667,0.4830985545931286,-0.9984447505908901,-0.4122752390814337,0.7485189671589073,-0.8853846085034667,-0.5017310076791593,0.0598488667953338,0.00152393813828806,1.7716098263885875,0.32818051763541695,-0.7599546219011147,0.7680872583259963,-0.6546536707079771,-0.6952927610925068,-2.0548373043483608,-0.9630828631544054,-0.2195860408817118,-0.20145154833543225,-0.2041241452319315,-0.4282850494763857,1.0629208696181067,-0.32639860846374874,0.7679108939257044,-1.803711156730683,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2608695652173913,0.31886792452830187,0.2751842751842752,0.116751269035533,0.3073727933541018,0.29988974641675853,0.22142857142857142,0.2864583333333333,0.125,0.2127659574468085,,0.22413793103448276,-0.19448128020073333,0.08766061187543207,-0.12220922855073653,-1.1614179338414272,0.0329503519169953,-0.0022203815042209428,-0.4024306167740267,-0.0583956077711139,-0.9717835799873076,-0.45279152063586614,-0.001891235634772842,-0.38026904497117414
9,10,2021-09-29,0.93,0.91,1,0,0,0.0,3,30,5234,4,2,28,2,10,3,236,39,109,81,92,100.0,2021,9,2021-09,236.0,92.0,100.0,109.0,39.0,81.0,28.0,5234.0,2.0,0.91,1.0,30.0,10.0,4.0,0.0,0.0,0.0,10.0,2.0,3.0,0.93,5.809774490330651,-0.0715281499977564,4.000442945535374,6.592094364646618,4.487197508351766,1.0276210631616207,1.34934675908222,0.34704287218427815,0.1086126300138209,67.3316382420816,0.018370739216776184,5.5946802971871294,67.91049579085333,1.3893758143512893,6.7524699850011265,0.3456609758094704,4.025743955654955,5.813000395671704,4.487197508351766,0.1086126300138209,1.0276210631616207,-0.07152326542243444,-2.052570626977032,-2.045171851213825,1.9615353389369072,1.9613702687986525,1.5275252316519468,-0.2041241452319315,-0.2195860408817118,-0.20145154833543225,1.2325080515387627,0.9011178841523084,0.9997862372888869,0.9591655023579431,-0.7945886692738641,-0.5999329004663713,1.275451926336348,-0.4282850494763857,-0.4051560003724358,-0.7645396591244147,-0.37186743440526926,1.1029753777142308,1.0378836952177692,1.5512675299919294,1.3923640277029148,-0.4202295646118311,0.7551881412709802,-0.7653907050032785,1.5518963604481497,1.3923640277029148,1.105071818834414,-0.37244076879197546,1.0387005189260996,-0.602372016204419,1.002867113573055,1.2779242131305126,1.9648145166910413,1.5275252316519468,0.9020280905367029,-2.04492189053636,0.9591655023579431,-0.2195860408817118,-0.20145154833543225,-0.2041241452319315,-0.4282850494763857,-0.7945886692738641,1.2325080515387627,1.9651710953453858,-0.4051560003724358,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2608695652173913,0.17064846416382254,0.2751842751842752,0.3903345724907063,0.3073727933541018,0.29988974641675853,0.3803418803418803,0.34285714285714286,0.3598673300165838,0.3072289156626506,,0.3709677419354839,-0.19448128020073333,-0.7218362059179347,-0.12220922855073653,0.4010000068624281,0.0329503519169953,-0.0022203815042209428,0.3597094352728702,0.2027271916083122,0.2695767564102486,0.0358176643587837,-0.001891235634772842,0.33268076288495074
