,id,date,saving_ratio,debt_saving_ratio,default_flag,max_dpd_6_months,max_dpd_12_months,max_dpd_24_months,problematic_cheque_count,customer_segment,duration_in_month,credit_history,purpose,credit_amount,savings,sme_history_begin,installment_as_income_perc,other_debtors,present_res_since,sector,average_credit_duration,customer_profile,business_type,credits_this_bank,revenue_range,people_under_maintenance,foreign_stakeholders,sector_risk,EBITDA,ROE,ROA,Revenue_Growth_Rate,Int_coverage_ratio,Net_Profit_Margin
0,1,12.09.2020,0.24,0.22,0,0,0,,2,micro_sme,6,critical account/ other credits existing (not at this bank),domestic appliances,1169,unknown/ no savings account,.. >= 7 years,4,none,4,Real Estate,67,individual_consumers,corporation,2,5m-10m,10,yes,2,360,60,100,27,75,90.0
1,2,8.07.2021,0.28,0.26,1,0,30,,0,medium_sme,48,existing credits paid back duly till now,domestic appliances,5951,... < 100 DM,1 <= ... < 4 years,2,none,2,Real Estate,22,individual_consumers,corporation,1,5m-10m,10,yes,7,350,52,141,18,-10,77.0
2,3,26.02.2023,0.42,0.4,0,0,30,,1,large_sme,12,critical account/ other credits existing (not at this bank),lease_investment,2096,... < 100 DM,4 <= ... < 7 years,2,none,3,Real Estate,49,individual_consumers,corporation,1,1m-5m,20,yes,2,113,-7,59,2,-18,88.0
3,4,30.03.2020,0.07,0.05,0,0,30,,0,micro_sme,42,existing credits paid back duly till now,rent_payment,7882,... < 100 DM,4 <= ... < 7 years,2,guarantor,4,Oil and gas,45,individual_consumers,partnership,1,5m-10m,20,yes,1,659,89,0,49,57,-7.0
4,5,24.07.2021,0.13,0.1,1,0,30,,3,micro_sme,24,delay in paying off in the past,car (new),4870,... < 100 DM,1 <= ... < 4 years,3,none,4,Telecommunications,53,individual_consumers,partnership,2,5m-10m,20,yes,8,117,50,51,24,60,71.0
5,6,13.02.2021,0.24,0.22,0,0,30,,0,large_sme,36,existing credits paid back duly till now,lease_investment,9055,unknown/ no savings account,1 <= ... < 4 years,2,none,4,Telecommunications,35,individual_consumers,partnership,1,1m-5m,20,yes,2,540,12,76,98,-27,56.0
6,7,13.01.2021,0.16,0.14,0,0,30,,3,large_sme,24,existing credits paid back duly till now,rent_payment,2835,500 <= ... < 1000 DM ,.. >= 7 years,3,none,4,Oil and gas,53,individual_consumers,corporation,1,5m-10m,10,yes,7,537,85,65,45,-20,77.0
7,8,23.02.2020,0.46,0.44,0,0,0,,0,medium_sme,36,existing credits paid back duly till now,car (used),6948,... < 100 DM,1 <= ... < 4 years,2,none,2,Construction,35,individual_consumers,sole_proprietorship,1,10m+,10,yes,7,78,70,93,93,-49,88.0
8,9,16.03.2022,0.49,0.47,0,0,0,,1,large_sme,12,existing credits paid back duly till now,domestic appliances,3059,.. >= 1000 DM ,4 <= ... < 7 years,2,none,4,Real Estate,61,individual_consumers,corporation,1,1m-5m,10,yes,0,315,56,45,47,43,24.0
9,10,29.09.2021,0.93,0.91,1,0,0,,3,medium_sme,30,critical account/ other credits existing (not at this bank),car (new),5234,... < 100 DM,new company,4,none,2,Construction,28,individual_consumers,corporation,2,10m+,10,yes,3,236,39,109,81,92,100.0
10,11,30.09.2022,0.8,0.78,1,0,0,,1,medium_sme,12,existing credits paid back duly till now,car (new),1295,... < 100 DM,... < 1 year ,3,none,1,Construction,25,individual_consumers,sole_proprietorship,1,5m-10m,10,yes,10,509,74,150,97,13,98.0
11,12,28.10.2022,0.85,0.83,1,30,30,,0,micro_sme,48,existing credits paid back duly till now,business,4308,... < 100 DM,... < 1 year ,3,none,4,Oil and gas,24,individual_consumers,sole_proprietorship,1,5m-10m,10,yes,4,782,27,126,43,0,78.0
12,13,9.01.2020,0.24,0.22,0,0,0,0.0,1,medium_sme,12,existing credits paid back duly till now,domestic appliances,1567,... < 100 DM,1 <= ... < 4 years,1,none,1,Construction,22,individual_consumers,corporation,1,5m-10m,10,yes,7,772,79,23,14,-61,66.0
13,14,2.10.2021,0.26,0.24,1,30,30,30.0,3,micro_sme,24,critical account/ other credits existing (not at this bank),car (new),1199,... < 100 DM,.. >= 7 years,4,none,4,Construction,60,individual_consumers,corporation,2,1m-5m,10,yes,4,503,145,81,95,69,99.0
14,15,4.10.2022,0.03,0.01,0,0,0,0.0,3,micro_sme,15,existing credits paid back duly till now,car (new),1403,... < 100 DM,1 <= ... < 4 years,2,none,4,Construction,28,individual_consumers,sole_proprietorship,1,5m-10m,10,yes,2,572,70,53,42,-93,44.0
15,16,10.10.2020,0.88,0.86,1,30,30,30.0,2,micro_sme,24,existing credits paid back duly till now,domestic appliances,1282,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,2,Construction,32,individual_consumers,corporation,1,1m-5m,10,yes,3,655,128,56,85,87,95.0
16,17,6.06.2020,0.18,0.16,0,0,0,0.0,2,large_sme,24,critical account/ other credits existing (not at this bank),domestic appliances,2424,unknown/ no savings account,.. >= 7 years,4,none,4,Oil and gas,53,individual_consumers,corporation,2,5m-10m,10,yes,6,359,72,27,76,14,6.0
17,18,11.04.2020,0.47,0.45,0,0,0,0.0,0,micro_sme,30,no credits taken/ all credits paid back duly,business,8072,unknown/ no savings account,... < 1 year ,2,none,3,Construction,25,small_businesses,corporation,3,5m-10m,10,yes,4,487,99,16,38,-19,0.0
18,19,18.05.2023,0.51,0.49,1,0,0,0.0,0,medium_sme,24,existing credits paid back duly till now,car (used),12579,... < 100 DM,.. >= 7 years,4,none,2,Telecommunications,44,individual_consumers,partnership,1,10m+,10,yes,3,403,84,150,2,-29,92.0
19,20,6.04.2020,0.36,0.34,0,0,0,0.0,3,large_sme,24,existing credits paid back duly till now,domestic appliances,3430,500 <= ... < 1000 DM ,.. >= 7 years,3,none,2,Construction,31,individual_consumers,corporation,1,5m-10m,20,yes,4,327,-2,51,96,-53,50.0
20,21,31.01.2021,0.29,0.27,0,0,0,0.0,1,large_sme,9,critical account/ other credits existing (not at this bank),car (new),2134,... < 100 DM,1 <= ... < 4 years,4,none,4,Construction,48,individual_consumers,corporation,3,5m-10m,10,yes,7,619,8,92,94,-100,34.0
21,22,18.08.2020,0.33,0.31,0,0,0,0.0,2,micro_sme,6,existing credits paid back duly till now,domestic appliances,2647,500 <= ... < 1000 DM ,1 <= ... < 4 years,2,none,3,Real Estate,44,individual_consumers,sole_proprietorship,1,5m-10m,20,yes,3,42,4,43,5,-35,-3.0
22,23,14.11.2023,0.12,0.1,0,0,0,0.0,1,micro_sme,10,critical account/ other credits existing (not at this bank),car (new),2241,... < 100 DM,... < 1 year ,1,none,3,Real Estate,48,individual_consumers,sole_proprietorship,2,1m-5m,20,no,3,588,-8,35,46,-45,-9.0
23,24,6.08.2022,0.41,0.39,0,0,0,0.0,3,medium_sme,12,critical account/ other credits existing (not at this bank),car (used),1804,100 <= ... < 500 DM,... < 1 year ,3,none,4,Oil and gas,44,individual_consumers,corporation,1,5m-10m,10,yes,4,103,-9,62,82,99,-5.0
24,25,4.12.2022,0.14,0.12,0,0,0,0.0,2,large_sme,10,critical account/ other credits existing (not at this bank),rent_payment,2069,unknown/ no savings account,1 <= ... < 4 years,2,none,1,Construction,26,individual_consumers,corporation,2,5m-10m,10,no,5,358,-6,79,18,-31,19.0
25,26,1.12.2020,0.22,0.2,0,0,0,0.0,2,micro_sme,6,existing credits paid back duly till now,rent_payment,1374,... < 100 DM,1 <= ... < 4 years,1,none,2,Real Estate,36,small_businesses,corporation,1,1m-5m,10,yes,7,143,98,97,51,-10,26.0
26,27,21.12.2023,0.12,0.1,0,0,0,0.0,3,large_sme,6,no credits taken/ all credits paid back duly,domestic appliances,426,... < 100 DM,.. >= 7 years,4,none,4,Construction,39,individual_consumers,corporation,1,1m-5m,10,yes,0,204,67,26,1,-68,23.0
27,28,6.01.2021,0.24,0.22,0,0,0,0.0,1,small_sme,12,all credits at this bank paid back duly,domestic appliances,409,.. >= 1000 DM ,1 <= ... < 4 years,3,none,3,Real Estate,42,individual_consumers,sole_proprietorship,2,5m-10m,10,yes,0,334,68,16,88,17,75.0
28,29,29.05.2021,0.49,0.47,0,0,0,0.0,2,medium_sme,7,existing credits paid back duly till now,domestic appliances,2415,... < 100 DM,1 <= ... < 4 years,3,guarantor,2,Real Estate,34,individual_consumers,corporation,1,5m-10m,10,yes,4,78,-8,89,53,-57,10.0
29,30,17.04.2022,0.27,0.25,1,0,0,0.0,3,micro_sme,60,delay in paying off in the past,business,6836,... < 100 DM,.. >= 7 years,3,none,4,Telecommunications,63,individual_consumers,corporation,2,5m-10m,10,yes,7,442,104,113,52,83,99.0
30,31,19.01.2021,0.5,0.48,0,0,0,0.0,1,medium_sme,18,existing credits paid back duly till now,business,1913,.. >= 1000 DM ,... < 1 year ,3,none,3,Real Estate,36,small_businesses,corporation,1,5m-10m,10,yes,6,670,51,88,42,12,51.0
31,32,26.01.2020,0.12,0.1,0,0,0,0.0,0,micro_sme,24,existing credits paid back duly till now,rent_payment,4020,... < 100 DM,1 <= ... < 4 years,2,none,2,Construction,27,large_enterprises,corporation,1,5m-10m,10,yes,0,596,9,23,28,-90,11.0
32,33,11.09.2023,0.07,0.05,0,0,0,0.0,1,medium_sme,18,existing credits paid back duly till now,car (new),5866,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,2,Construction,30,individual_consumers,corporation,2,5m-10m,10,yes,2,464,37,20,98,-25,62.0
33,34,13.09.2021,0.25,0.23,0,0,0,0.0,1,large_sme,12,critical account/ other credits existing (not at this bank),business,1264,unknown/ no savings account,.. >= 7 years,4,none,4,Telecommunications,57,individual_consumers,sole_proprietorship,1,1m-5m,10,yes,0,21,6,70,41,63,64.0
34,35,30.07.2022,0.35,0.33,0,0,0,0.0,0,small_sme,12,existing credits paid back duly till now,rent_payment,1474,... < 100 DM,... < 1 year ,4,none,1,Oil and gas,33,small_businesses,corporation,1,10m+,10,yes,2,650,20,3,53,83,12.0
35,36,2.09.2021,0.84,0.82,1,0,0,0.0,3,medium_sme,45,critical account/ other credits existing (not at this bank),domestic appliances,4746,... < 100 DM,... < 1 year ,4,none,2,Oil and gas,25,individual_consumers,corporation,2,1m-5m,10,yes,5,636,26,94,42,-8,93.0
36,37,28.03.2022,0.32,0.3,0,0,0,0.0,1,large_sme,48,critical account/ other credits existing (not at this bank),lease_investment,6110,... < 100 DM,1 <= ... < 4 years,1,none,3,Telecommunications,31,small_businesses,partnership,1,5m-10m,10,yes,4,412,80,50,35,-7,46.0
37,38,15.04.2022,0.15,0.13,1,0,0,,1,small_sme,18,existing credits paid back duly till now,domestic appliances,2100,... < 100 DM,1 <= ... < 4 years,4,co-applicant,2,Real Estate,37,large_enterprises,corporation,1,5m-10m,10,yes,4,274,140,76,73,-51,73.0
38,39,10.01.2021,0.2,0.18,0,0,0,,0,small_sme,10,existing credits paid back duly till now,repairs,1225,... < 100 DM,1 <= ... < 4 years,2,none,2,Construction,37,individual_consumers,corporation,1,5m-10m,10,yes,6,518,67,70,60,-79,38.0
39,40,11.06.2020,0.22,0.2,0,0,0,,1,medium_sme,9,existing credits paid back duly till now,domestic appliances,458,... < 100 DM,1 <= ... < 4 years,4,none,3,Real Estate,24,individual_consumers,corporation,1,5m-10m,10,yes,4,566,10,69,84,-8,29.0
40,41,22.03.2023,0.04,0.02,0,0,0,,1,large_sme,30,existing credits paid back duly till now,domestic appliances,2333,500 <= ... < 1000 DM ,.. >= 7 years,4,none,2,Construction,30,small_businesses,corporation,1,10m+,10,yes,4,701,57,1,33,69,28.0
41,42,7.01.2022,0.45,0.43,0,0,0,,1,medium_sme,12,existing credits paid back duly till now,domestic appliances,1158,500 <= ... < 1000 DM ,1 <= ... < 4 years,3,none,1,Construction,26,individual_consumers,corporation,1,5m-10m,10,yes,4,794,62,98,60,-52,40.0
42,43,27.08.2020,0.47,0.45,0,0,0,,3,medium_sme,18,delay in paying off in the past,education,6204,... < 100 DM,1 <= ... < 4 years,2,none,4,Real Estate,44,individual_consumers,corporation,1,1m-5m,20,yes,6,745,63,82,75,55,51.0
43,44,4.02.2020,0.5,0.48,0,0,0,,2,micro_sme,30,critical account/ other credits existing (not at this bank),car (used),6187,100 <= ... < 500 DM,4 <= ... < 7 years,1,none,4,Construction,24,individual_consumers,sole_proprietorship,2,5m-10m,10,yes,7,454,16,73,77,55,57.0
44,45,15.10.2022,0.5,0.48,1,0,0,,0,micro_sme,48,critical account/ other credits existing (not at this bank),car (used),6143,... < 100 DM,.. >= 7 years,4,none,4,Telecommunications,58,large_enterprises,partnership,2,1m-5m,10,yes,9,924,136,101,40,-2,90.0
45,46,15.01.2020,0.36,0.34,0,0,0,,3,large_sme,11,critical account/ other credits existing (not at this bank),car (new),1393,... < 100 DM,... < 1 year ,4,none,4,Construction,35,individual_consumers,corporation,2,10m+,10,yes,5,328,51,87,46,25,59.0
46,47,6.05.2023,0.46,0.44,0,0,0,0.0,3,large_sme,36,existing credits paid back duly till now,domestic appliances,2299,500 <= ... < 1000 DM ,.. >= 7 years,4,none,4,Construction,39,individual_consumers,corporation,1,5m-10m,10,yes,1,110,94,48,62,-17,43.0
47,48,23.10.2022,0.36,0.34,0,0,0,0.0,0,micro_sme,6,existing credits paid back duly till now,car (used),1352,500 <= ... < 1000 DM ,new company,1,none,2,Oil and gas,23,individual_consumers,sole_proprietorship,1,0m-1m,10,yes,7,41,66,4,30,51,77.0
48,49,7.11.2022,0.03,0.01,0,0,0,0.0,0,large_sme,11,critical account/ other credits existing (not at this bank),car (new),7228,... < 100 DM,1 <= ... < 4 years,1,none,4,Oil and gas,39,individual_consumers,corporation,2,1m-5m,10,yes,3,660,-10,83,97,78,40.0
49,50,6.04.2022,0.38,0.36,0,0,0,0.0,2,large_sme,12,existing credits paid back duly till now,domestic appliances,2073,100 <= ... < 500 DM,1 <= ... < 4 years,4,co-applicant,2,Real Estate,28,individual_consumers,corporation,1,5m-10m,10,yes,3,651,50,13,71,-76,0.0
50,51,26.07.2021,0.46,0.44,0,0,0,0.0,3,medium_sme,24,delay in paying off in the past,rent_payment,2333,unknown/ no savings account,... < 1 year ,4,none,2,Oil and gas,29,small_businesses,corporation,1,1m-5m,10,yes,5,366,31,87,89,-92,19.0
51,52,22.11.2022,0.32,0.29,0,0,0,0.0,3,medium_sme,27,delay in paying off in the past,car (used),5965,... < 100 DM,.. >= 7 years,1,none,2,Construction,30,individual_consumers,corporation,2,10m+,10,yes,1,179,99,77,78,20,28.0
52,53,26.03.2020,0.41,0.39,0,0,0,0.0,0,large_sme,12,existing credits paid back duly till now,domestic appliances,1262,... < 100 DM,1 <= ... < 4 years,3,none,2,Construction,25,individual_consumers,corporation,1,,10,yes,5,121,42,56,19,16,18.0
53,54,18.05.2022,0.34,0.32,0,0,0,0.0,3,large_sme,18,existing credits paid back duly till now,car (used),3378,unknown/ no savings account,1 <= ... < 4 years,2,none,1,Oil and gas,31,individual_consumers,corporation,1,,10,yes,0,56,94,65,63,-93,76.0
54,55,8.07.2021,0.39,0.37,1,0,0,0.0,0,medium_sme,36,delay in paying off in the past,car (new),2225,... < 100 DM,.. >= 7 years,4,none,4,Telecommunications,57,small_businesses,partnership,2,,10,yes,6,388,123,143,43,-23,71.0
55,56,20.01.2021,0.03,0.01,0,0,0,0.0,0,large_sme,6,all credits at this bank paid back duly,car (new),783,unknown/ no savings account,1 <= ... < 4 years,1,guarantor,2,Real Estate,26,large_enterprises,corporation,1,,20,yes,4,22,98,73,22,5,12.0
56,57,3.08.2023,0.22,0.2,1,0,0,0.0,0,medium_sme,12,existing credits paid back duly till now,domestic appliances,6468,unknown/ no savings account,new company,2,none,1,Telecommunications,52,individual_consumers,corporation,1,,10,yes,10,467,59,110,15,-35,78.0
57,58,28.02.2021,0.23,0.21,0,0,0,0.0,2,large_sme,36,critical account/ other credits existing (not at this bank),domestic appliances,9566,... < 100 DM,1 <= ... < 4 years,2,none,2,Construction,31,large_enterprises,corporation,2,,10,yes,5,142,43,55,81,-22,59.0
58,59,28.11.2023,0.49,0.47,0,0,0,0.0,0,small_sme,18,existing credits paid back duly till now,car (new),1961,... < 100 DM,.. >= 7 years,3,none,2,Construction,23,individual_consumers,corporation,1,,10,yes,1,511,25,35,85,13,-5.0
59,60,18.01.2021,0.96,0.94,1,0,0,0.0,0,micro_sme,36,critical account/ other credits existing (not at this bank),rent_payment,6229,... < 100 DM,... < 1 year ,4,co-applicant,4,Telecommunications,23,individual_consumers,sole_proprietorship,2,,10,yes,10,287,59,93,46,87,98.0
60,61,3.12.2020,0.21,0.19,0,0,0,0.0,0,medium_sme,9,existing credits paid back duly till now,business,1391,... < 100 DM,1 <= ... < 4 years,2,none,1,Real Estate,27,small_businesses,corporation,1,,10,yes,2,574,17,78,45,-89,11.0
61,62,31.05.2021,0.25,0.23,0,0,0,0.0,0,medium_sme,15,critical account/ other credits existing (not at this bank),domestic appliances,1537,unknown/ no savings account,.. >= 7 years,4,guarantor,4,Real Estate,50,individual_consumers,corporation,2,,10,yes,0,176,43,64,38,-76,37.0
62,63,8.08.2021,0.45,0.43,1,0,0,0.0,0,medium_sme,36,no credits taken/ all credits paid back duly,business,1953,... < 100 DM,.. >= 7 years,4,none,4,Telecommunications,61,individual_consumers,partnership,1,,10,yes,8,403,76,140,73,-34,88.0
63,64,22.10.2021,0.25,0.23,1,0,0,0.0,3,medium_sme,48,no credits taken/ all credits paid back duly,business,14421,... < 100 DM,1 <= ... < 4 years,2,none,2,Construction,25,individual_consumers,corporation,1,,10,yes,5,870,85,101,38,-5,77.0
64,65,11.07.2023,0.28,0.26,0,0,0,0.0,3,large_sme,24,existing credits paid back duly till now,domestic appliances,3181,... < 100 DM,... < 1 year ,4,none,4,Oil and gas,26,individual_consumers,corporation,1,,10,yes,7,137,4,8,32,97,-9.0
65,66,4.03.2020,0.22,0.2,0,0,0,0.0,1,large_sme,27,existing credits paid back duly till now,education,5190,unknown/ no savings account,.. >= 7 years,4,none,4,Oil and gas,48,individual_consumers,corporation,4,,20,yes,6,29,32,31,37,-97,51.0
66,67,18.07.2023,0.27,0.25,0,0,0,0.0,2,large_sme,12,existing credits paid back duly till now,domestic appliances,2171,... < 100 DM,... < 1 year ,2,none,2,Construction,29,small_businesses,corporation,1,,10,yes,5,758,81,13,84,-63,46.0
67,68,7.03.2020,0.51,0.49,0,0,0,0.0,2,medium_sme,12,existing credits paid back duly till now,car (new),1007,.. >= 1000 DM ,1 <= ... < 4 years,4,none,1,Real Estate,22,individual_consumers,corporation,1,,10,yes,2,774,2,12,5,33,39.0
68,69,17.01.2022,0.02,0.0,1,30,30,30.0,0,large_sme,36,existing credits paid back duly till now,lease_investment,1819,... < 100 DM,1 <= ... < 4 years,4,none,4,Telecommunications,37,large_enterprises,partnership,1,,10,yes,7,365,106,82,85,-81,81.0
69,70,21.09.2023,0.25,0.23,0,0,0,0.0,0,large_sme,36,existing credits paid back duly till now,domestic appliances,2394,unknown/ no savings account,1 <= ... < 4 years,4,none,4,Construction,25,individual_consumers,corporation,1,,10,yes,0,54,-7,74,100,-83,52.0
70,71,7.05.2023,0.43,0.41,0,0,0,0.0,3,large_sme,36,existing credits paid back duly till now,car (used),8133,... < 100 DM,1 <= ... < 4 years,1,none,2,Oil and gas,30,small_businesses,corporation,1,,10,yes,0,329,-1,83,22,-27,38.0
71,72,16.10.2022,0.15,0.13,0,0,0,0.0,2,large_sme,7,critical account/ other credits existing (not at this bank),domestic appliances,730,unknown/ no savings account,.. >= 7 years,4,none,2,Oil and gas,46,individual_consumers,sole_proprietorship,2,,10,yes,5,16,41,96,3,37,34.0
